name,job_location,job_type,company_name,job_url,company_url
Operational Excellence,"6th of October, Giza, Egypt ",Full Time,Al Andalous Pharmaceutical Industries -,https://wuzzuf.net/jobs/p/OcZmwdWHxnj9-Operational-Excellence-Al-Andalous-Pharmaceutical-Industries-Giza-Egypt,https://wuzzuf.net/jobs/p/OcZmwdWHxnj9-Operational-Excellence-Al-Andalous-Pharmaceutical-Industries-Giza-Egypt
Production Supervisor,"Cairo, Egypt ",Full Time,Pepsi -,https://wuzzuf.net/jobs/p/h4hrOWiZZ0gW-Production-Supervisor-Pepsi-Cairo-Egypt,https://wuzzuf.net/jobs/p/h4hrOWiZZ0gW-Production-Supervisor-Pepsi-Cairo-Egypt
"RC RAK, Al Wadi Heart of House Specialist - Steward","Dubai, United Arab Emirates ",Full Time,"Marriott International, Inc. -",https://wuzzuf.net/jobs/p/GkFfe8jVqVpU-RC-RAK-Al-Wadi-Heart-of-House-Specialist---Steward-Marriott-International-Inc-Dubai-United-Arab-Emirates,https://wuzzuf.net/jobs/p/GkFfe8jVqVpU-RC-RAK-Al-Wadi-Heart-of-House-Specialist---Steward-Marriott-International-Inc-Dubai-United-Arab-Emirates
Finance Coordinator,"Riyadh, Saudi Arabia ",Full Time,Ritz-Carlton Company -,https://wuzzuf.net/jobs/p/tOJ8xs5r9vvk-Finance-Coordinator-Ritz-Carlton-Company-Riyadh-Saudi-Arabia,https://wuzzuf.net/jobs/p/tOJ8xs5r9vvk-Finance-Coordinator-Ritz-Carlton-Company-Riyadh-Saudi-Arabia
Secretary,"Wadi Alnatrun, Beheira, Egypt ",Full Time,falconmisr -,https://wuzzuf.net/jobs/p/kSZUl32SJXOY-Secretary-falconmisr-Beheira-Egypt,https://wuzzuf.net/jobs/p/kSZUl32SJXOY-Secretary-falconmisr-Beheira-Egypt
Systems Engineer (US Time Zone),"Cairo, Egypt ",Full Time,Pixelogic Media Partners LLC -,https://wuzzuf.net/jobs/p/ywe6H1MmXeDc-Systems-Engineer-US-Time-Zone-Pixelogic-Media-Partners-LLC-Cairo-Egypt,https://wuzzuf.net/jobs/p/ywe6H1MmXeDc-Systems-Engineer-US-Time-Zone-Pixelogic-Media-Partners-LLC-Cairo-Egypt
Loss Prevention Officer,"Kuwait City, Kuwait ",Full Time,Marriott International -,https://wuzzuf.net/jobs/p/XL75hbtZQKsw-Loss-Prevention-Officer-Marriott-International-Kuwait-City-Kuwait,https://wuzzuf.net/jobs/p/XL75hbtZQKsw-Loss-Prevention-Officer-Marriott-International-Kuwait-City-Kuwait
Solutions sales Consultant,"Heliopolis, Cairo, Egypt ",Full Time,Gulf Data International  -,https://wuzzuf.net/jobs/p/FruQNpSMo2dT-Solutions-sales-Consultant-Gulf-Data-International-Cairo-Egypt,https://wuzzuf.net/jobs/p/FruQNpSMo2dT-Solutions-sales-Consultant-Gulf-Data-International-Cairo-Egypt
Loss Prevention Officer,"Kuwait City, Kuwait ",Full Time,"Marriott International, Inc. -",https://wuzzuf.net/jobs/p/tUeyl1UGUclQ-Loss-Prevention-Officer-Marriott-International-Inc-Kuwait-City-Kuwait,https://wuzzuf.net/jobs/p/tUeyl1UGUclQ-Loss-Prevention-Officer-Marriott-International-Inc-Kuwait-City-Kuwait
F&B Services Supervisor,"Dubai, United Arab Emirates ",Full Time,Ritz-Carlton Company -,https://wuzzuf.net/jobs/p/Z3Qbp6kAt1td-FB-Services-Supervisor-Ritz-Carlton-Company-Dubai-United-Arab-Emirates,https://wuzzuf.net/jobs/p/Z3Qbp6kAt1td-FB-Services-Supervisor-Ritz-Carlton-Company-Dubai-United-Arab-Emirates
Restaurant Supervisor - Tamoka,"Dubai, United Arab Emirates ",Full Time,"Marriott International, Inc. -",https://wuzzuf.net/jobs/p/y9YPariSio0g-Restaurant-Supervisor---Tamoka-Marriott-International-Inc-Dubai-United-Arab-Emirates,https://wuzzuf.net/jobs/p/y9YPariSio0g-Restaurant-Supervisor---Tamoka-Marriott-International-Inc-Dubai-United-Arab-Emirates
Project Manager (Localization and Digital Media),"Cairo, Egypt ",Full Time,Pixelogic Media Partners LLC -,https://wuzzuf.net/jobs/p/pkCu0Mj1Ct9o-Project-Manager-Localization-and-Digital-Media-Pixelogic-Media-Partners-LLC-Cairo-Egypt,https://wuzzuf.net/jobs/p/pkCu0Mj1Ct9o-Project-Manager-Localization-and-Digital-Media-Pixelogic-Media-Partners-LLC-Cairo-Egypt
