name,job_location,job_type,company_name,job_url,company_url
Data Engineer,"Maadi, Cairo, Egypt ",Full Time,Cilantro -,https://wuzzuf.net/jobs/p/UBzYQr5WevHy-Data-Engineer-Cilantro-Cairo-Egypt,https://wuzzuf.net/jobs/p/UBzYQr5WevHy-Data-Engineer-Cilantro-Cairo-Egypt
HR Specialist,"Nasr City, Cairo, Egypt ",Full Time,CELESTE -,https://wuzzuf.net/jobs/p/uLwNHuG5mNQu-HR-Specialist-CELESTE-Cairo-Egypt,https://wuzzuf.net/jobs/p/uLwNHuG5mNQu-HR-Specialist-CELESTE-Cairo-Egypt
AI Team Leader,"Nasr City, Cairo, Egypt ",Full Time,Noases -,https://wuzzuf.net/jobs/p/4O9uKPoP5fMy-AI-Team-Leader-Noases-Cairo-Egypt,https://wuzzuf.net/jobs/p/4O9uKPoP5fMy-AI-Team-Leader-Noases-Cairo-Egypt
Senior - Mechanical Engineers - Technical Product Designers,"Nasr City, Cairo, Egypt ",Full TimePart Time,Confidential -,https://wuzzuf.net/jobs/p/ZdXAz8DaANtS-Senior---Mechanical-Engineers---Technical-Product-Designers-Cairo-Egypt,https://wuzzuf.net/jobs/p/ZdXAz8DaANtS-Senior---Mechanical-Engineers---Technical-Product-Designers-Cairo-Egypt
Backend Engineer (PHP/Laravel) (remote),"Dubai, United Arab Emirates ",Full TimeWork From Home,Confidential -,https://wuzzuf.net/jobs/p/4SD7tVigQGnB-Backend-Engineer-PHPLaravel-remote-Dubai-United-Arab-Emirates,https://wuzzuf.net/jobs/p/4SD7tVigQGnB-Backend-Engineer-PHPLaravel-remote-Dubai-United-Arab-Emirates
IOT Team Leader,"Nasr City, Cairo, Egypt ",Full Time,Noases -,https://wuzzuf.net/jobs/p/0c1X5V07DFwg-IOT-Team-Leader-Noases-Cairo-Egypt,https://wuzzuf.net/jobs/p/0c1X5V07DFwg-IOT-Team-Leader-Noases-Cairo-Egypt
Maintenance Engineer,"Maadi, Cairo, Egypt ",Full Time,Promech Engineering -,https://wuzzuf.net/jobs/p/U8oist6zNHKn-Maintenance-Engineer-Promech-Engineering-Cairo-Egypt,https://wuzzuf.net/jobs/p/U8oist6zNHKn-Maintenance-Engineer-Promech-Engineering-Cairo-Egypt
"Program Manager, AMZL MENA ACES","Cairo, Egypt ",Full Time,Amazon MENA -,https://wuzzuf.net/jobs/p/OjgPjOQdbC5n-Program-Manager-AMZL-MENA-ACES-Amazon-MENA-Cairo-Egypt,https://wuzzuf.net/jobs/p/OjgPjOQdbC5n-Program-Manager-AMZL-MENA-ACES-Amazon-MENA-Cairo-Egypt
Business Performance Analyst,"Riyadh, Saudi Arabia ",Full Time,Lucidya -,https://wuzzuf.net/jobs/p/TNtqNMmMgR11-Business-Performance-Analyst-Lucidya-Aggregated-Riyadh-Saudi-Arabia,https://wuzzuf.net/jobs/p/TNtqNMmMgR11-Business-Performance-Analyst-Lucidya-Aggregated-Riyadh-Saudi-Arabia
Performance & Strategy Analyst,"Riyadh, Saudi Arabia ",Full Time,Lucidya -,https://wuzzuf.net/jobs/p/XBlzMUb2yUmg-Performance-Strategy-Analyst-Lucidya-Aggregated-Riyadh-Saudi-Arabia,https://wuzzuf.net/jobs/p/XBlzMUb2yUmg-Performance-Strategy-Analyst-Lucidya-Aggregated-Riyadh-Saudi-Arabia
Senior Azure DevOps Engineer,"Cairo, Egypt ",Full Time,Tristratus.ltd -,https://wuzzuf.net/jobs/p/R7HEtxjgPJ9M-Senior-Azure-DevOps-Engineer-Tristratus-ltd-Cairo-Egypt,https://wuzzuf.net/jobs/p/R7HEtxjgPJ9M-Senior-Azure-DevOps-Engineer-Tristratus-ltd-Cairo-Egypt
Quality Control Manager,"Smart Village, Giza, Egypt ",Full Time,MB for Engineering -,https://wuzzuf.net/jobs/p/ylDDXPlcd8Np-Quality-Control-Manager-MB-for-Engineering-Giza-Egypt,https://wuzzuf.net/jobs/p/ylDDXPlcd8Np-Quality-Control-Manager-MB-for-Engineering-Giza-Egypt
Senior IOT Engineer,"Nasr City, Cairo, Egypt ",Full Time,Noases -,https://wuzzuf.net/jobs/p/uPujStCZE9Cz-Senior-IOT-Engineer-Noases-Cairo-Egypt,https://wuzzuf.net/jobs/p/uPujStCZE9Cz-Senior-IOT-Engineer-Noases-Cairo-Egypt
Payments Support Specialist,"Cairo, Egypt ",Full Time,Vodafone - Egypt -,https://wuzzuf.net/jobs/p/kCR0fp5NA8Wq-Payments-Support-Specialist-Vodafone---Egypt-Cairo-Egypt,https://wuzzuf.net/jobs/p/kCR0fp5NA8Wq-Payments-Support-Specialist-Vodafone---Egypt-Cairo-Egypt
Senior Computer Vision Engineer,"Nasr City, Cairo, Egypt ",Full Time,Noases -,https://wuzzuf.net/jobs/p/tl0dSru6L7td-Senior-Computer-Vision-Engineer-Noases-Cairo-Egypt,https://wuzzuf.net/jobs/p/tl0dSru6L7td-Senior-Computer-Vision-Engineer-Noases-Cairo-Egypt
Principal Applied Science Manager,"Cairo, Egypt ",Full Time,Microsoft -,https://wuzzuf.net/jobs/p/t5xezJNQr9Bc-Principal-Applied-Science-Manager-Microsoft-Cairo-Egypt,https://wuzzuf.net/jobs/p/t5xezJNQr9Bc-Principal-Applied-Science-Manager-Microsoft-Cairo-Egypt
Post Doctoral Fellow (Grants Position),"Doha, Qatar ",Full Time,Sidra Medicine -,https://wuzzuf.net/jobs/p/a0pMYsyULA5J-Post-Doctoral-Fellow-Grants-Position-Sidra-Medicine-Doha-Qatar,https://wuzzuf.net/jobs/p/a0pMYsyULA5J-Post-Doctoral-Fellow-Grants-Position-Sidra-Medicine-Doha-Qatar
